iter	Passed	Remaining
337	28987	56774
338	29082	56707
339	29188	56659
340	29280	56585
341	29369	56506
342	29451	56413
343	29543	56338
344	29632	56258
345	29717	56170
346	29805	56089
347	29898	56016
348	29991	55944
349	30088	55877
350	30173	55790
351	30262	55710
352	30350	55628
353	30438	55546
354	30522	55456
355	30606	55366
356	30694	55284
357	30778	55194
358	30888	55152
359	30976	55069
360	31052	54966
361	31191	54972
362	31318	54957
363	31410	54882
364	31562	54910
365	31643	54813
366	31732	54732
367	31824	54655
368	31918	54580
369	32003	54492
370	32098	54420
371	32194	54349
372	32288	54275
373	32375	54190
374	32474	54123
375	32573	54057
376	32672	53991
377	32763	53912
378	32851	53828
379	32936	53738
380	33031	53665
381	33124	53588
382	33212	53504
383	33300	53419
384	33395	53345
385	33490	53272
386	33581	53192
387	33671	53111
388	33755	53019
389	33856	52955
390	33942	52866
391	34037	52792
392	34128	52712
393	34225	52641
394	34312	52553
395	34395	52462
396	34485	52379
397	34574	52296
398	34676	52231
399	34768	52152
400	34854	52063
401	34968	52018
402	35059	51937
403	35151	51856
404	35234	51764
405	35322	51678
406	35412	51595
407	35516	51534
408	35605	51449
409	35691	51360
410	35778	51273
411	35872	51196
412	35955	51103
413	36032	51001
414	36136	50938
415	36216	50843
416	36311	50765
417	36396	50676
418	36486	50594
419	36566	50496
420	36653	50409
421	36748	50333
422	36838	50250
423	36931	50171
424	37018	50084
425	37142	50046
426	37292	50043
427	37376	49952
428	37484	49891
429	37571	49804
430	37665	49725
431	37756	49642
432	37852	49566
433	37937	49475
434	38022	49385
435	38121	49313
436	38219	49238
437	38305	49149
438	38388	49057
439	38479	48973
440	38582	48905
441	38674	48824
442	38753	48726
443	38848	48647
444	38947	48575
445	39036	48488
446	39121	48398
447	39211	48314
448	39295	48222
449	39397	48152
450	39484	48064
451	39568	47972
452	39645	47872
453	39735	47787
454	39814	47689
455	39901	47601
456	39977	47500
457	40061	47408
458	40148	47321
459	40237	47235
460	40339	47165
461	40432	47083
462	40513	46988
463	40611	46913
464	40697	46823
465	40793	46746
466	40875	46652
467	40960	46561
468	41052	46479
469	41147	46399
470	41232	46309
471	41331	46235
472	41435	46166
473	41527	46083
474	41710	46101
475	41838	46057
476	41942	45987
477	42015	45883
478	42103	45794
479	42185	45700
480	42275	45615
481	42360	45524
482	42443	45431
483	42528	45339
484	42617	45253
485	42702	45162
486	42792	45077
487	42877	44986
488	42977	44910
489	43071	44829
490	43157	44739
491	43242	44648
492	43333	44563
493	43421	44476
494	43518	44397
495	43602	44305
496	43672	44199
497	43753	44104
498	43836	44012
499	43968	43968
500	44067	43891
501	44156	43804
502	44242	43714
503	44349	43645
504	44446	43566
505	44543	43486
506	44628	43396
507	44711	43303
508	44810	43226
509	44909	43148
510	44997	43060
511	45081	42967
512	45176	42886
513	45283	42816
514	45401	42756
515	45494	42673
516	45599	42600
517	45684	42509
518	45773	42422
519	45877	42348
520	46016	42307
521	46155	42265
522	46303	42231
523	46455	42200
524	46547	42114
525	46639	42028
526	46737	41948
527	46834	41866
528	46926	41781
529	47035	41710
530	47132	41628
531	47299	41609
532	47424	41552
533	47528	41475
534	47640	41407
535	47830	41405
536	47973	41362
537	48097	41303
538	48260	41276
539	48425	41251
540	48578	41215
541	48705	41157
542	48827	41094
543	48929	41014
544	49173	41052
545	49277	40974
546	49377	40892
547	49475	40807
548	49572	40723
549	49660	40631
550	49749	40540
551	49839	40449
552	49972	40393
553	50067	40306
554	50180	40234
555	50284	40155
556	50433	40110
557	50527	40023
558	50623	39937
559	50732	39860
560	50894	39826
561	51019	39762
562	51170	39718
563	51393	39730
564	51524	39669
565	51649	39604
566	51832	39582
567	51946	39508
568	52108	39470
569	52233	39404
570	52380	39354
571	52490	39276
572	52579	39182
573	52666	39086
574	52760	38996
575	52840	38896
576	52930	38803
577	53022	38712
578	53105	38613
579	53189	38516
580	53286	38428
581	53372	38332
582	53457	38236
583	53555	38148
584	53644	38055
585	53772	37989
586	53866	37899
587	53979	37822
588	54084	37739
589	54184	37653
590	54279	37563
591	54363	37466
592	54452	37372
593	54538	37277
594	54631	37185
595	54718	37091
596	54802	36993
597	54890	36899
598	54981	36807
599	55077	36718
600	55161	36621
601	55254	36530
602	55341	36435
603	55433	36343
604	55543	36263
605	55630	36168
606	55749	36094
607	55828	35994
608	55930	35909
609	56016	35813
610	56099	35716
611	56184	35620
612	56267	35522
613	56361	35432
614	56448	35337
615	56538	35244
616	56626	35150
617	56716	35057
618	56818	34972
619	56918	34885
620	56996	34785
621	57079	34688
622	57174	34598
623	57249	34496
624	57325	34395
625	57421	34306
626	57503	34208
627	57579	34107
628	57702	34034
629	57790	33940
630	57870	33841
631	57960	33748
632	58043	33652
633	58130	33557
634	58215	33462
635	58298	33366
636	58383	33270
637	58472	33176
638	58571	33089
639	58675	33005
640	58754	32906
641	58841	32811
642	58939	32724
643	59021	32626
644	59092	32523
645	59177	32428
646	59263	32333
647	59357	32243
648	59437	32145
649	59517	32047
650	59613	31958
651	59702	31865
652	59801	31778
653	59891	31685
654	59977	31591
655	60058	31494
656	60129	31391
657	60214	31296
658	60293	31198
659	60374	31101
660	60463	31009
661	60545	30912
662	60631	30818
663	60732	30731
664	60818	30637
665	60899	30541
666	60992	30450
667	61093	30363
668	61195	30277
669	61274	30179
670	61360	30085
671	61445	29991
672	61582	29921
673	61667	29827
674	61760	29736
675	61843	29640
676	61944	29554
677	62028	29459
678	62126	29370
679	62208	29274
680	62287	29177
681	62381	29087
682	62459	28989
683	62539	28892
684	62617	28794
685	62756	28725
686	62894	28655
687	62981	28561
688	63068	28467
689	63149	28371
690	63244	28281
691	63336	28190
692	63420	28095
693	63508	28002
694	63603	27912
695	63708	27826
696	63814	27741
697	63903	27648
698	63993	27556
699	64088	27466
700	64178	27374
701	64267	27281
702	64352	27187
703	64436	27092
704	64524	26999
705	64603	26902
706	64683	26806
707	64773	26714
708	64862	26621
709	64956	26531
710	65044	26438
711	65128	26344
712	65218	26252
713	65307	26159
714	65409	26072
715	65508	25983
716	65605	25894
717	65691	25800
718	65785	25710
719	65871	25616
720	65961	25524
721	66041	25428
722	66130	25336
723	66218	25243
724	66305	25150
725	66396	25058
726	66491	24968
727	66595	24882
728	66688	24791
729	66780	24699
730	66870	24607
731	66957	24514
732	67049	24423
733	67120	24324
734	67208	24231
735	67295	24138
736	67375	24042
737	67467	23951
738	67550	23857
739	67629	23761
740	67720	23670
741	67801	23575
742	67904	23487
743	67988	23394
744	68072	23299
745	68150	23203
746	68234	23110
747	68335	23021
748	68434	22933
749	68526	22842
750	68601	22745
751	68692	22653
752	68766	22556
753	68841	22460
754	68918	22364
755	69004	22271
756	69095	22179
757	69183	22087
758	69266	21993
759	69307	21886
760	69384	21790
761	69475	21699
762	69551	21603
763	69643	21512
764	69743	21424
765	69827	21331
766	69920	21240
767	70004	21147
768	70088	21053
769	70169	20959
770	70254	20866
771	70356	20778
772	70442	20686
773	70474	20577
774	70502	20468
775	70590	20376
776	70678	20284
777	70769	20193
778	70856	20101
779	70940	20008
780	71023	19915
781	71120	19826
782	71208	19734
783	71288	19640
784	71376	19548
785	71459	19455
786	71558	19367
787	71648	19275
788	71745	19186
789	71841	19097
790	71993	19022
791	72131	18943
792	72223	18852
793	72332	18766
794	72476	18688
795	72570	18598
796	72671	18509
797	72781	18423
798	72873	18332
799	72971	18242
800	73055	18149
801	73146	18058
802	73265	17974
803	73346	17880
804	73433	17788
805	73526	17697
806	73607	17603
807	73702	17513
808	73787	17420
809	73869	17327
810	73957	17235
811	74049	17144
812	74141	17053
813	74219	16959
814	74306	16867
815	74397	16775
816	74504	16688
817	74609	16600
818	74696	16508
819	74780	16415
820	74867	16323
821	74960	16232
822	75072	16145
823	75150	16051
824	75241	15960
825	75335	15869
826	75428	15778
827	75514	15686
828	75601	15594
829	75684	15501
830	75785	15412
831	75872	15320
832	75962	15229
833	76052	15137
834	76141	15045
835	76236	14955
836	76319	14862
837	76404	14770
838	76491	14678
839	76576	14585
840	76676	14496
841	76760	14403
842	76849	14312
843	76935	14220
844	77027	14129
845	77111	14036
846	77200	13945
847	77390	13871
848	77567	13795
849	77700	13711
850	77784	13619
851	77874	13527
852	77972	13437
853	78112	13354
854	78196	13261
855	78286	13169
856	78381	13078
857	78485	12989
858	78584	12899
859	78694	12810
860	78801	12721
861	78910	12633
862	79002	12541
863	79084	12448
864	79181	12357
865	79322	12273
866	79405	12181
867	79501	12090
868	79599	11999
869	79734	11914
870	79844	11825
871	79934	11733
872	80028	11642
873	80164	11556
874	80274	11467
875	80363	11375
876	80448	11282
877	80531	11190
878	80626	11098
879	80726	11008
880	80805	10914
881	80888	10821
882	80966	10728
883	81052	10635
884	81144	10544
885	81228	10451
886	81311	10358
887	81394	10266
888	81491	10174
889	81572	10081
890	81659	9989
891	81745	9897
892	81829	9804
893	81907	9711
894	82017	9622
895	82091	9528
896	82170	9435
897	82259	9343
898	82352	9252
899	82441	9160
900	82519	9067
901	82603	8974
902	82683	8881
903	82775	8790
904	82865	8698
905	82945	8605
906	83027	8513
907	83119	8421
908	83204	8329
909	83283	8236
910	83366	8144
911	83446	8051
912	83531	7959
913	83627	7868
914	83714	7776
915	83803	7685
916	83894	7593
917	84002	7503
918	84102	7412
919	84187	7320
920	84297	7230
921	84406	7140
922	84498	7049
923	84587	6957
924	84673	6865
925	84761	6773
926	84865	6683
927	84953	6591
928	85045	6499
929	85129	6407
930	85215	6315
931	85311	6224
932	85399	6132
933	85485	6040
934	85573	5948
935	85680	5858
936	85783	5767
937	85870	5675
938	85958	5584
939	86051	5492
940	86140	5400
941	86217	5308
942	86295	5216
943	86369	5123
944	86444	5031
945	86534	4939
946	86620	4847
947	86706	4756
948	86793	4664
949	86905	4573
950	87061	4485
951	87149	4394
952	87245	4302
953	87344	4211
954	87437	4120
955	87537	4028
956	87624	3937
957	87706	3845
958	87792	3753
959	87892	3662
960	87986	3570
961	88072	3478
962	88161	3387
963	88249	3295
964	88349	3204
965	88435	3112
966	88520	3020
967	88604	2929
968	88699	2837
969	88790	2746
970	88880	2654
971	88973	2563
972	89058	2471
973	89150	2379
974	89239	2288
975	89332	2196
976	89419	2105
977	89526	2013
978	89629	1922
979	89727	1831
980	89820	1739
981	89910	1648
982	90012	1556
983	90105	1465
984	90193	1373
985	90275	1281
986	90376	1190
987	90469	1098
988	90553	1007
989	90631	915
990	90713	823
991	90798	732
992	90875	640
993	90957	549
994	91042	457
995	91123	365
996	91209	274
997	91302	182
998	91388	91
999	91483	0
