iter	Logloss
0	0.4971831815
1	0.3768232472
2	0.3090280077
3	0.270078776
4	0.2465737486
5	0.2319043945
6	0.2227851165
7	0.2158039364
8	0.2104849723
9	0.2025807066
10	0.1996327356
11	0.19512193
12	0.1932142348
13	0.1918108991
14	0.1904582616
15	0.1893616259
16	0.1882287213
17	0.1858060339
18	0.1842621665
19	0.182822789
20	0.1821123755
21	0.181443746
22	0.1798459795
23	0.1783207766
24	0.1770148304
25	0.175610413
26	0.1744473162
27	0.173359194
28	0.1726712581
29	0.1720456822
30	0.1710325388
31	0.1697398178
32	0.1686956484
33	0.1678193312
34	0.1666787272
35	0.1657082941
36	0.1651550763
37	0.1644363768
38	0.1634863416
39	0.1626998249
40	0.1616090615
41	0.1607329563
42	0.1603261835
43	0.1594270004
44	0.1586935706
45	0.1579745026
46	0.1574994566
47	0.156698917
48	0.1559214542
49	0.1552876106
50	0.1547370526
51	0.154386983
52	0.1538823311
53	0.1530548868
54	0.1523800443
55	0.151852261
56	0.1509422599
57	0.1501473515
58	0.1496753075
59	0.1493172061
60	0.1490657789
61	0.1484958589
62	0.1478808034
63	0.147312522
64	0.1467793909
65	0.1463842685
66	0.1456986934
67	0.1449958859
68	0.1444396738
69	0.1439673691
70	0.1434655737
71	0.1429246383
72	0.1423104285
73	0.1419208533
74	0.141031603
75	0.1406638666
76	0.1402285114
77	0.1396754073
78	0.1393717951
79	0.1386270145
80	0.1379725075
81	0.1374753072
82	0.1367321014
83	0.1362774774
84	0.1354185373
85	0.1346394925
86	0.1341124728
87	0.133716871
88	0.1331555717
89	0.1328104543
90	0.1324708211
91	0.1320883849
92	0.1316509758
93	0.1312377705
94	0.1308480289
95	0.1305076453
96	0.1300160413
97	0.129674106
98	0.1292968669
99	0.1289515306
100	0.1285897697
101	0.1282789484
102	0.1279841432
103	0.1275521431
104	0.1270796328
105	0.1266561056
106	0.1262232688
107	0.1258266461
108	0.1252720999
109	0.1248923014
110	0.1245104494
111	0.1241883081
112	0.1237552139
113	0.1233546985
114	0.1229896535
115	0.1227751324
116	0.1223531488
117	0.1220326754
118	0.1216274227
119	0.121230111
120	0.120825267
121	0.1204552361
122	0.1200731475
123	0.1196746149
124	0.1193298015
125	0.1189965326
126	0.1187717463
127	0.1182173116
128	0.117843964
129	0.1175582118
130	0.1170247382
131	0.1167696382
132	0.1163435443
133	0.1159962287
134	0.1156394681
135	0.1154979343
136	0.1152570067
137	0.1149525519
138	0.1146749714
139	0.1144179254
140	0.1142392785
141	0.1138406865
142	0.113544543
143	0.1132355612
144	0.1129326019
145	0.1125532673
146	0.1122130815
147	0.1119330967
148	0.1116759794
149	0.1112532036
150	0.1109251674
151	0.110725481
152	0.110290281
153	0.1100502855
154	0.1096205421
155	0.1093079153
156	0.1087865197
157	0.1084133631
158	0.10821454
159	0.1080108726
160	0.1077836182
161	0.1075588863
162	0.1072775523
163	0.1069266885
164	0.1067289055
165	0.1064269224
166	0.10612994
167	0.1058458318
168	0.1054186031
169	0.1051945723
170	0.1047427132
171	0.104507726
172	0.1040406703
173	0.1039130501
174	0.1036629588
175	0.1033693182
176	0.1029596179
177	0.1026325458
178	0.1024818835
179	0.1021111032
